;coeditor1;coeditor2;count
1645;Formigari;Mauro;1
1646;Hassler;Storost;1
1647;Auroux;al.;1
1627;Colin;Leblond;1
1626;Colin;Conrad;1
1625;Dufiet;Nardout-Lafarge;1
1615;Dhuicq;O’Donnell;1
1608;Maillard;Séginger;1
1609;Maillard;Talairach;1
1610;Séginger;Talairach;1
1611;Conesa;Neveu;1
1612;Blanckaert;Fisher;1
1613;Blanckaert;Rey;1
1614;Fisher;Rey;1
1616;Leduc;O’Donnell;1
1624;Bureau;Devinat;1
1617;Dhuicq;Leduc;1
1618;Jacques-Lefèvre;Regard;1
1619;Bernard-Griffiths;Sgard;1
1620;Henke;Kord;1
1621;Henke;Richter;1
1622;Kord;Richter;1
1623;Barberick;Ganim;1
1563;Claudia-Krülls-Hepermann;Kimminich;1
1562;Goldberger;Szmurlo;1
1561;Gutwirth;Szmurlo;1
1560;Goldberger;Gutwirth;1
1497;Biondi;Imbroscio;1
1498;Biondi;Latil;1
1499;Imbroscio;Latil;1
1500;Mellet;Vuillaume;1
1501;Fouilleron;al.;1
1502;Girardini;Henrot;1
1504;Ferrer;Ramond;1
1505;Caumartin;Goyette;1
1506;Caumartin;Hébert;1
1507;Caumartin;Lapointe;1
1508;Goyette;Hébert;1
1509;Goyette;Lapointe;1
1510;Hébert;Lapointe;1
1511;Hoagwood;Watkins;1
1512;Mouchel;Nativel;1
1513;Hersant;Tourrette;1
1514;Crépin;Gainot;1
1496;Tailleur;Urbain;1
1495;Urbain;Vaillancourt;1
1494;Tailleur;Vaillancourt;1
1483;Cassagnes;Sainclivier;1
1476;Capdevila;Cocaud;1
1477;Capdevila;Godineau;1
1478;Bouquet;Capdevila;1
1479;Capdevila;Sainclivier;1
1480;Cassagnes;Cocaud;1
1481;Cassagnes;Godineau;1
1482;Bouquet;Cassagnes;1
1484;Cocaud;Godineau;1
1493;Côté;Doutrelepont;1
1485;Bouquet;Cocaud;1
1486;Cocaud;Sainclivier;1
1487;Bouquet;Godineau;1
1488;Godineau;Sainclivier;1
1489;Bouquet;Sainclivier;1
1490;Engélibert;Guidée;1
1491;Cossy;Dawson;1
1515;Crépin;Kaci;1
1516;Gainot;Kaci;1
1517;Baltes;Smelser;1
1551;Stefanovska;de Weerdt-Pilorge;1
1544;Décultot;Pfeiffer;1
1545;Pfeiffer;de Senarclens;1
1546;Décultot;de Senarclens;1
1547;Godwin;Lasalle;1
1548;Godwin;Weil;1
1549;Lasalle;Weil;1
1550;Cronk;Peeters;1
1552;Granadas;Rius;1
1542;Kemp;Pettegree;1
1553;Granadas;Schiavo;1
1554;Rius;Schiavo;1
1555;Delia;Hoarau;1
1556;Luzzatto;Pedullà;1
1557;Bianchi;Minuti;1
1558;Blanc;Simonutti;1
1559;Israël;Lederer;1
1543;Cordingley;Manning;1
1541;Kemp;der Weduwen;1
1518;Mander;Sell;1
1529;Pioffet;lacollaborationd’Isabelle Lachance;1
1519;Bähler;Fröhlicher;1
1520;Bähler;Zöllner;1
1521;Fröhlicher;Zöllner;1
1522;Matthews-Schlinzig;Socha;1
1526;Sartori;Zimmerman;1
1527;Cormier;Herman;1
1528;Cormier;Pelckmans;1
1530;Lavocat;lacollaborationde GuiomarHautcœur;1
1540;Pettegree;der Weduwen;1
1531;Ledda;Montandon;1
1532;Delon;Seth;1
1533;Schreibman;Siemens;1
1534;Medlin;Merrick;1
1536;Meyer;Pujalte-Fraysse;1
1537;Gendt;Montoya;1
1538;Peslier;de Reyniès;1
1648;Downing;Harkness;1
1649;Harkness;Stephens;1
1650;Harkness;Unwin;1
1734;Ferrone;Rossi;1
1760;Lochert;de Guardia;1
1761;Schöndorf;Vestli;1
1762;Jung;Schöndorf;1
1763;Jung;Vestli;1
2043;Nancy;de Gasquet;1
1765;Heran;Livet;1
1766;Heran;Vincente;1
1767;Livet;Vincente;1
1768;Kramer;Maza;1
1769;Baumann;Cremer;1
1770;Bender;Cremer;1
1771;Baumann;Bender;1
1772;Biron;Popovic;1
1773;Boutier;Marin;1
1774;Boutier;Romano;1
1775;Marin;Romano;1
1776;Carvais;Garçon;1
1759;Magnan;Saint-Girons;1
1758;Leroy;Saint-Girons;1
1757;Leroy;Magnan;1
1743;Edwards;Poiana;1
1736;Berti;Popkin;1
1737;Charles-Daubert;Popkin;1
1738;Saar;Schofield;1
1739;Coutelet;Moindrot;1
1740;Beaulieu;Desrosiers-Bonin;1
1741;Cox;Schmidt-Hannisa;1
1742;Edwards;McCann;1
1744;McCann;Poiana;1
1756;Gallingani;Saint-Girons;1
1745;Carroll;Pretzsch;1
1746;Carroll;Wagner;1
1747;Pretzsch;Wagner;1
1748;Haltzel;Klaits;1
1752;Komur-Thilloy;Réach-Ngô;1
1754;Gallingani;Leroy;1
1755;Gallingani;Magnan;1
1777;Carvais;Grelon;1
1778;Garçon;Grelon;1
1779;Conraux;Haquin;1
1812;Louvat-Molozay;Salaün;1
1802;Andries;Gipper;1
1803;Andries;Lotterie;1
1804;Denis;Gipper;1
1805;Denis;Lotterie;1
1806;Gipper;Lotterie;1
1807;Siemek;Zatorska;1
1811;Harris;Myers;1
1813;Cumby;Lamal;1
1800;Gilly;Girardin;1
1814;Helmers;Lamal;1
1815;Cumby;Helmers;1
